"PartitionKey","RowKey","WeekNumber","MonthNumber","YearNumber","Duration"
"fcf15fac-0256-49af-b093-0235c4585e34","10_3_2020","10","3","2020","1"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","7_2_2020","7","2","2020","40.5"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","13_3_2020","13","3","2020","36.25"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","18_4_2020","18","4","2020","37.21666666666667"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","29_7_2020","29","7","2020","40"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","20_5_2020","20","5","2020","41.75"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","9_2_2020","9","2","2020","42"
"8aa34fdd-8885-4c15-a445-0b413705a326","27_6_2020","27","6","2020","16.5"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","4_1_2020","4","1","2020","52.5"
"e716fa8b-62e8-463e-afad-ffbef362ade6","19_5_2020","19","5","2020","40"
"e072544b-169c-4b5f-89ab-391faece6499","17_4_2020","17","4","2020","40.75"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","18_4_2020","18","4","2020","33"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","17_4_2020","17","4","2020","43"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","17_4_2020","17","4","2020","40"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","5_1_2020","5","1","2020","40"
"e881fa18-07fa-4d42-b765-66644d717b65","6_2_2020","6","2","2020","41"
"e881fa18-07fa-4d42-b765-66644d717b65","7_2_2020","7","2","2020","46.5"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","11_3_2020","11","3","2020","48.5"
"e072544b-169c-4b5f-89ab-391faece6499","14_3_2020","14","3","2020","16.75"
"e072544b-169c-4b5f-89ab-391faece6499","14_4_2020","14","4","2020","26"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","10_3_2020","10","3","2020","8"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","8_2_2020","8","2","2020","40.5"
"451a7fae-82fb-40f7-b9d1-c71ab4fdef32","20_5_2020","20","5","2020","41.08333333333333"
"89fe4a65-76ab-4126-82e2-52f425c11f21","6_2_2020","6","2","2020","35.5"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","10_3_2020","10","3","2020","56.5"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","3_1_2020","3","1","2020","45"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","15_4_2020","15","4","2020","25"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","20_5_2020","20","5","2020","40"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","8_2_2020","8","2","2020","42"
"32cff9bb-65a2-4122-ad00-399992f58ea6","12_3_2020","12","3","2020","45"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","6_2_2020","6","2","2020","43"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","7_2_2020","7","2","2020","42"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","12_3_2020","12","3","2020","40"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","11_3_2020","11","3","2020","40"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","20_5_2020","20","5","2020","40"
"dc12c3f1-9757-4406-a012-57758bcad921","15_4_2020","15","4","2020","24"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","8_2_2020","8","2","2020","40"
"cc7eed86-e4df-4f32-a3d6-1f48a0bc7d98","17_4_2020","17","4","2020","40.5"
"1847f009-b425-4e62-8286-f20e52fb7ef5","12_3_2020","12","3","2020","43.25"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","6_2_2020","6","2","2020","53.5"
"32cff9bb-65a2-4122-ad00-399992f58ea6","9_2_2020","9","2","2020","40"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","9_2_2020","9","2","2020","40.25"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","11_3_2020","11","3","2020","40"
"89a590ca-884f-4936-b62d-c8f76d79002c","18_4_2020","18","4","2020","32"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","3_1_2020","3","1","2020","42"
"b4c98e99-8265-4890-85fa-04aff6ab5b13","6_2_2020","6","2","2020","40"
"1847f009-b425-4e62-8286-f20e52fb7ef5","18_4_2020","18","4","2020","32"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","11_3_2020","11","3","2020","40"
"89fe4a65-76ab-4126-82e2-52f425c11f21","10_3_2020","10","3","2020","43"
"8aa34fdd-8885-4c15-a445-0b413705a326","10_3_2020","10","3","2020","40"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","2_1_2020","2","1","2020","40"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","15_4_2020","15","4","2020","15.25"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","12_3_2020","12","3","2020","41.25"
"b6380033-1ff3-456e-b518-a7666e0c72e7","11_3_2020","11","3","2020","40.5"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","16_4_2020","16","4","2020","31.5"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","13_3_2020","13","3","2020","45.75"
"e716fa8b-62e8-463e-afad-ffbef362ade6","7_2_2020","7","2","2020","40.5"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","8_2_2020","8","2","2020","53.75"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","2_1_2020","2","1","2020","45"
"89a590ca-884f-4936-b62d-c8f76d79002c","15_4_2020","15","4","2020","18"
"a415e194-bf55-4e97-8ee7-a7fa540ecc8e","13_3_2020","13","3","2020","43"
"fcf15fac-0256-49af-b093-0235c4585e34","14_4_2020","14","4","2020","19.75"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","14_3_2020","14","3","2020","16.25"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","14_4_2020","14","4","2020","25.25"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","13_3_2020","13","3","2020","41.75"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","11_3_2020","11","3","2020","52.5"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","12_3_2020","12","3","2020","6"
"fcf15fac-0256-49af-b093-0235c4585e34","7_2_2020","7","2","2020","40.5"
"fcf15fac-0256-49af-b093-0235c4585e34","8_2_2020","8","2","2020","39.5"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","12_3_2020","12","3","2020","44.25"
"89fe4a65-76ab-4126-82e2-52f425c11f21","12_3_2020","12","3","2020","37.83333333333333"
"b6380033-1ff3-456e-b518-a7666e0c72e7","15_4_2020","15","4","2020","24"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","18_4_2020","18","4","2020","7"
"451a7fae-82fb-40f7-b9d1-c71ab4fdef32","10_3_2020","10","3","2020","43"
"fcf15fac-0256-49af-b093-0235c4585e34","18_4_2020","18","4","2020","30.75"
"fcf15fac-0256-49af-b093-0235c4585e34","18_5_2020","18","5","2020","1.5"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","11_3_2020","11","3","2020","46"
"e716fa8b-62e8-463e-afad-ffbef362ade6","8_2_2020","8","2","2020","40.5"
"32cff9bb-65a2-4122-ad00-399992f58ea6","15_4_2020","15","4","2020","26.5"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","19_5_2020","19","5","2020","37.75"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","7_2_2020","7","2","2020","34.5"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","10_3_2020","10","3","2020","41"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","1_12_2019","1","12","2019","8"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","1_1_2020","1","1","2020","18"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","5_1_2020","5","1","2020","41.5"
"8aa34fdd-8885-4c15-a445-0b413705a326","8_2_2020","8","2","2020","40"
"b4c98e99-8265-4890-85fa-04aff6ab5b13","10_3_2020","10","3","2020","41.5"
"2da05f36-663d-45bd-bf97-407b305b74bf","14_3_2020","14","3","2020","17.666666666666664"
"2da05f36-663d-45bd-bf97-407b305b74bf","14_4_2020","14","4","2020","25.75"
"2da05f36-663d-45bd-bf97-407b305b74bf","15_4_2020","15","4","2020","23"
"be11fac5-4825-4caa-b0d5-1e3b4f0ecae9","20_5_2020","20","5","2020","40"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","14_3_2020","14","3","2020","16.5"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","14_4_2020","14","4","2020","24"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","13_3_2020","13","3","2020","40"
"1847f009-b425-4e62-8286-f20e52fb7ef5","6_2_2020","6","2","2020","39"
"1847f009-b425-4e62-8286-f20e52fb7ef5","7_2_2020","7","2","2020","41.5"
"e072544b-169c-4b5f-89ab-391faece6499","16_4_2020","16","4","2020","33"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","27_6_2020","27","6","2020","16"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","11_3_2020","11","3","2020","8"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","15_4_2020","15","4","2020","23.5"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","10_3_2020","10","3","2020","40"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","13_3_2020","13","3","2020","40.5"
"89fe4a65-76ab-4126-82e2-52f425c11f21","16_4_2020","16","4","2020","33.75"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","49_11_2019","49","11","2019","40.5"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","17_4_2020","17","4","2020","41"
"a415e194-bf55-4e97-8ee7-a7fa540ecc8e","10_3_2020","10","3","2020","45.5"
"89a590ca-884f-4936-b62d-c8f76d79002c","7_2_2020","7","2","2020","45"
"8aa34fdd-8885-4c15-a445-0b413705a326","19_5_2020","19","5","2020","40"
"e716fa8b-62e8-463e-afad-ffbef362ade6","14_3_2020","14","3","2020","19"
"e716fa8b-62e8-463e-afad-ffbef362ade6","14_4_2020","14","4","2020","21.75"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","16_4_2020","16","4","2020","22"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","10_3_2020","10","3","2020","37.5"
"89fe4a65-76ab-4126-82e2-52f425c11f21","13_3_2020","13","3","2020","43.75"
"1847f009-b425-4e62-8286-f20e52fb7ef5","52_12_2019","52","12","2019","16"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","11_3_2020","11","3","2020","42.5"
"e881fa18-07fa-4d42-b765-66644d717b65","17_4_2020","17","4","2020","40"
"89a590ca-884f-4936-b62d-c8f76d79002c","12_3_2020","12","3","2020","43.25"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","16_4_2020","16","4","2020","32.25"
"e716fa8b-62e8-463e-afad-ffbef362ade6","15_4_2020","15","4","2020","23.5"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","18_4_2020","18","4","2020","34.25"
"d1515707-ab10-49c1-893e-a60b70bd0364","17_4_2020","17","4","2020","40"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","7_2_2020","7","2","2020","39.5"
"1847f009-b425-4e62-8286-f20e52fb7ef5","11_3_2020","11","3","2020","44.25"
"e716fa8b-62e8-463e-afad-ffbef362ade6","18_4_2020","18","4","2020","32.5"
"89a590ca-884f-4936-b62d-c8f76d79002c","13_3_2020","13","3","2020","38.75"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","6_2_2020","6","2","2020","40.5"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","12_3_2020","12","3","2020","41.75"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","18_4_2020","18","4","2020","28"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","5_1_2020","5","1","2020","8"
"d1515707-ab10-49c1-893e-a60b70bd0364","16_4_2020","16","4","2020","32"
"b6380033-1ff3-456e-b518-a7666e0c72e7","12_3_2020","12","3","2020","41"
"e072544b-169c-4b5f-89ab-391faece6499","15_4_2020","15","4","2020","24"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","16_4_2020","16","4","2020","32"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","20_5_2020","20","5","2020","42.5"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","14_3_2020","14","3","2020","16"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","14_4_2020","14","4","2020","24"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","3_1_2020","3","1","2020","40"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","19_5_2020","19","5","2020","40"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","16_4_2020","16","4","2020","33"
"e881fa18-07fa-4d42-b765-66644d717b65","19_5_2020","19","5","2020","40"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","12_3_2020","12","3","2020","40.5"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","15_4_2020","15","4","2020","25"
"1847f009-b425-4e62-8286-f20e52fb7ef5","50_11_2019","50","11","2019","45.41666666666667"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","18_4_2020","18","4","2020","31"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","10_3_2020","10","3","2020","54.416666666666664"
"8aa34fdd-8885-4c15-a445-0b413705a326","9_2_2020","9","2","2020","40"
"1847f009-b425-4e62-8286-f20e52fb7ef5","16_4_2020","16","4","2020","35.25"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","4_1_2020","4","1","2020","40"
"a415e194-bf55-4e97-8ee7-a7fa540ecc8e","7_2_2020","7","2","2020","40"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","14_3_2020","14","3","2020","19.5"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","14_4_2020","14","4","2020","14"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","52_11_2019","52","11","2019","16"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","9_2_2020","9","2","2020","36.5"
"b6380033-1ff3-456e-b518-a7666e0c72e7","17_4_2020","17","4","2020","40.5"
"e716fa8b-62e8-463e-afad-ffbef362ade6","13_3_2020","13","3","2020","37.5"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","15_4_2020","15","4","2020","19"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","10_3_2020","10","3","2020","36"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","19_5_2020","19","5","2020","44"
"be11fac5-4825-4caa-b0d5-1e3b4f0ecae9","19_5_2020","19","5","2020","40"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","18_4_2020","18","4","2020","32"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","1_11_2019","1","11","2019","8"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","1_0_2020","1","0","2020","16"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","5_1_2020","5","1","2020","42"
"d1515707-ab10-49c1-893e-a60b70bd0364","9_2_2020","9","2","2020","40"
"e716fa8b-62e8-463e-afad-ffbef362ade6","12_3_2020","12","3","2020","39.5"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","50_11_2019","50","11","2019","40.5"
"e881fa18-07fa-4d42-b765-66644d717b65","14_3_2020","14","3","2020","15.5"
"e881fa18-07fa-4d42-b765-66644d717b65","14_4_2020","14","4","2020","22"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","10_3_2020","10","3","2020","40"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","14_3_2020","14","3","2020","16"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","14_4_2020","14","4","2020","24.75"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","12_3_2020","12","3","2020","8"
"b4c98e99-8265-4890-85fa-04aff6ab5b13","11_3_2020","11","3","2020","41.5"
"e716fa8b-62e8-463e-afad-ffbef362ade6","11_3_2020","11","3","2020","47"
"405035eb-32ab-4625-94cc-a668f73e341c","6_2_2020","6","2","2020","40.5"
"451a7fae-82fb-40f7-b9d1-c71ab4fdef32","17_4_2020","17","4","2020","40.83333333333333"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","50_11_2019","50","11","2019","46.5"
"be11fac5-4825-4caa-b0d5-1e3b4f0ecae9","17_4_2020","17","4","2020","40"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","11_3_2020","11","3","2020","39.833333333333336"
"b6380033-1ff3-456e-b518-a7666e0c72e7","13_3_2020","13","3","2020","43"
"8aa34fdd-8885-4c15-a445-0b413705a326","16_4_2020","16","4","2020","33"
"e716fa8b-62e8-463e-afad-ffbef362ade6","10_3_2020","10","3","2020","61.5"
"dc12c3f1-9757-4406-a012-57758bcad921","19_5_2020","19","5","2020","40"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","12_3_2020","12","3","2020","47.5"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","9_2_2020","9","2","2020","40.5"
"d1515707-ab10-49c1-893e-a60b70bd0364","19_5_2020","19","5","2020","40"
"89a590ca-884f-4936-b62d-c8f76d79002c","20_5_2020","20","5","2020","40"
"451a7fae-82fb-40f7-b9d1-c71ab4fdef32","7_2_2020","7","2","2020","40.166666666666664"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","8_2_2020","8","2","2020","47"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","17_4_2020","17","4","2020","40.25"
"e072544b-169c-4b5f-89ab-391faece6499","20_5_2020","20","5","2020","40"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","20_5_2020","20","5","2020","39.5"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","4_1_2020","4","1","2020","40.25"
"2da05f36-663d-45bd-bf97-407b305b74bf","17_4_2020","17","4","2020","48"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","2_1_2020","2","1","2020","39.25"
"be11fac5-4825-4caa-b0d5-1e3b4f0ecae9","13_3_2020","13","3","2020","40"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","14_3_2020","14","3","2020","16"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","14_4_2020","14","4","2020","24.5"
"451a7fae-82fb-40f7-b9d1-c71ab4fdef32","8_2_2020","8","2","2020","40.5"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","16_4_2020","16","4","2020","36"
"a415e194-bf55-4e97-8ee7-a7fa540ecc8e","16_4_2020","16","4","2020","40.5"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","16_4_2020","16","4","2020","35.5"
"7cdcb7be-32fa-4231-8271-549422721c9b","19_5_2020","19","5","2020","51.25"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","16_4_2020","16","4","2020","8"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","9_2_2020","9","2","2020","44.5"
"fcf15fac-0256-49af-b093-0235c4585e34","17_4_2020","17","4","2020","40.083333333333336"
"7cdcb7be-32fa-4231-8271-549422721c9b","18_4_2020","18","4","2020","34.5"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","11_3_2020","11","3","2020","43.25"
"7cdcb7be-32fa-4231-8271-549422721c9b","16_4_2020","16","4","2020","32.75"
"e716fa8b-62e8-463e-afad-ffbef362ade6","9_2_2020","9","2","2020","40.25"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","5_1_2020","5","1","2020","47"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","13_3_2020","13","3","2020","40"
"fcf15fac-0256-49af-b093-0235c4585e34","20_5_2020","20","5","2020","38.5"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","52_12_2019","52","12","2019","16"
"a415e194-bf55-4e97-8ee7-a7fa540ecc8e","17_4_2020","17","4","2020","56"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","18_4_2020","18","4","2020","35"
"5880d293-567a-4b4a-bdb4-3cf7d9315181","5_1_2020","5","1","2020","44"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","15_4_2020","15","4","2020","21.25"
"e072544b-169c-4b5f-89ab-391faece6499","21_5_2020","21","5","2020","32"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","17_4_2020","17","4","2020","9"
"b6380033-1ff3-456e-b518-a7666e0c72e7","14_3_2020","14","3","2020","16.5"
"b6380033-1ff3-456e-b518-a7666e0c72e7","14_4_2020","14","4","2020","25"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","13_3_2020","13","3","2020","49.5"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","17_4_2020","17","4","2020","42.5"
"fcf15fac-0256-49af-b093-0235c4585e34","6_2_2020","6","2","2020","39.5"
"1847f009-b425-4e62-8286-f20e52fb7ef5","10_3_2020","10","3","2020","41"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","10_3_2020","10","3","2020","38"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","13_3_2020","13","3","2020","40"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","19_5_2020","19","5","2020","40.75"
"451a7fae-82fb-40f7-b9d1-c71ab4fdef32","16_4_2020","16","4","2020","33.583333333333336"
"d1515707-ab10-49c1-893e-a60b70bd0364","20_5_2020","20","5","2020","40"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","6_2_2020","6","2","2020","40.5"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","10_3_2020","10","3","2020","44"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","14_3_2020","14","3","2020","15.5"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","14_4_2020","14","4","2020","28"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","14_3_2020","14","3","2020","15.25"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","14_4_2020","14","4","2020","23.5"
"32cff9bb-65a2-4122-ad00-399992f58ea6","14_3_2020","14","3","2020","19.5"
"32cff9bb-65a2-4122-ad00-399992f58ea6","14_4_2020","14","4","2020","28.5"
"8aa34fdd-8885-4c15-a445-0b413705a326","13_3_2020","13","3","2020","40.25"
"89a590ca-884f-4936-b62d-c8f76d79002c","11_3_2020","11","3","2020","41.5"
"dc12c3f1-9757-4406-a012-57758bcad921","2_1_2020","2","1","2020","42"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","8_2_2020","8","2","2020","43.5"
"6be2988f-3a43-4d88-b331-5d37b4a7aaab","11_3_2020","11","3","2020","46"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","7_2_2020","7","2","2020","40"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","15_4_2020","15","4","2020","24"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","7_2_2020","7","2","2020","41"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","10_3_2020","10","3","2020","40"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","15_4_2020","15","4","2020","23.5"
"89a590ca-884f-4936-b62d-c8f76d79002c","10_3_2020","10","3","2020","41.5"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","20_5_2020","20","5","2020","37"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","5_1_2020","5","1","2020","41.25"
"e072544b-169c-4b5f-89ab-391faece6499","19_5_2020","19","5","2020","41"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","12_3_2020","12","3","2020","40.75"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","9_2_2020","9","2","2020","44.5"
"d1515707-ab10-49c1-893e-a60b70bd0364","15_4_2020","15","4","2020","24"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","17_4_2020","17","4","2020","40.25"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","2_0_2020","2","0","2020","40"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","17_4_2020","17","4","2020","43.5"
"451a7fae-82fb-40f7-b9d1-c71ab4fdef32","9_2_2020","9","2","2020","41"
"89fe4a65-76ab-4126-82e2-52f425c11f21","5_1_2020","5","1","2020","42.5"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","13_3_2020","13","3","2020","40.5"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","10_3_2020","10","3","2020","49.5"
"1847f009-b425-4e62-8286-f20e52fb7ef5","51_11_2019","51","11","2019","37.5"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","6_2_2020","6","2","2020","8.5"
"e881fa18-07fa-4d42-b765-66644d717b65","15_4_2020","15","4","2020","23"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","3_1_2020","3","1","2020","40.25"
"89a590ca-884f-4936-b62d-c8f76d79002c","16_4_2020","16","4","2020","33"
"89fe4a65-76ab-4126-82e2-52f425c11f21","20_5_2020","20","5","2020","43"
"b6380033-1ff3-456e-b518-a7666e0c72e7","20_5_2020","20","5","2020","40"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","16_4_2020","16","4","2020","32"
